,fit,vac,mse,rmse,mae,depth,ests,group
4742,RF,0.9997136732156675,3.9265225225225925e-05,0.006266197030514275,0.002899099099099496,50,50,control
4743,RF,0.9405417495393509,0.013480007207207212,0.116103433227477,0.06785585585585603,50,50,control
4744,RF,0.9010537062327877,0.01807592108108108,0.13444672209124728,0.09848108108108132,50,50,control
4745,RF,0.9492612942336516,0.004554752792792798,0.06748890866500064,0.03625765765765798,50,50,control
4746,RF,0.9773742467623421,0.003942033513513518,0.06278561549840471,0.03903243243243261,50,50,control
4747,RF,0.9660243038627332,0.003163029142857145,0.05624081385308311,0.036645714285714344,100,50,cocaine
4748,RF,0.9605429884694487,0.006402771999999999,0.08001732312443349,0.05372857142857154,100,50,cocaine
4749,RF,0.938859998626363,0.006054211142857145,0.07780881147310467,0.05287857142857144,100,50,cocaine
4750,RF,0.9541083253077431,0.009448349142857141,0.09720261901233496,0.052540000000000274,100,50,cocaine
4751,RF,0.9727676164357628,0.004376980285714284,0.06615875063598378,0.032501428571428556,100,50,cocaine
4752,RF,0.9758826649336604,0.003461888285714285,0.05883781340017901,0.03091285714285718,100,50,cocaine
4753,RF,0.9701031026678905,0.0022393805714285724,0.04732209390367857,0.03431428571428574,100,50,cocaine
4754,RF,0.9543231143040354,0.00962686485714286,0.09811658808347781,0.057298571428571636,100,50,cocaine
4755,RF,0.9538038443436727,0.0059293614285714285,0.07700234690300958,0.054558571428571435,100,50,cocaine
4756,RF,0.9373698533746748,0.006657411714285716,0.08159296363220125,0.054390000000000036,100,50,cocaine
4757,RF,0.9882181259769344,0.002112392571428573,0.045960772093477424,0.024948571428571625,100,50,cocaine
4758,RF,0.9501684038232887,0.006108522571428576,0.07815703788801477,0.04785571428571433,100,50,cocaine
4759,RF,0.9999999035890115,2.142857142856671e-08,0.00014638501094226387,2.142857142887542e-05,100,50,cocaine
4760,RF,0.989066090008,0.0014992962857142867,0.038720747483930194,0.02177285714285739,100,50,cocaine
4761,RF,0.9744475999230406,0.0017238191428571446,0.04151890103142356,0.030224285714285763,100,50,cocaine
4762,RF,0.9032685018699098,0.012578578571428562,0.11215426238636034,0.061229999999999965,100,50,cocaine
4763,RF,0.9780599470575545,0.0031988054285714295,0.05655798288987532,0.04069000000000004,100,50,cocaine
4764,RF,0.9557516285919566,0.009397531428571429,0.09694086562730617,0.05437428571428592,100,50,cocaine
4765,RF,0.9863190071593112,0.002942404285714288,0.05424393316965768,0.018035714285714554,100,50,cocaine
4766,RF,0.9230382610867371,0.012021302285714285,0.10964169957508997,0.07092857142857148,100,50,cocaine
4767,RF,0.9650503764740146,0.0032895406349206335,0.05735451712742976,0.04079206349206346,100,50,cocaine
4768,RF,0.9591212219386916,0.004953777714285713,0.07038307832345579,0.042902857142857166,100,50,cocaine
4769,RF,0.9616234526829259,0.004620367714285722,0.06797328676977245,0.04993285714285721,100,50,cocaine
4770,RF,0.9732096306820447,0.003816878558558566,0.06178089153256503,0.043066666666666836,100,50,control
4771,RF,0.9486184787369293,0.00678559115384616,0.082374699719308,0.06124807692307698,100,50,control
4772,RF,0.9521486465789843,0.004585758198198202,0.06771822648444215,0.04924504504504511,100,50,control
4773,RF,0.9020972990980001,0.018705175135135144,0.13676686417087708,0.10180360360360367,100,50,control
4774,RF,0.9609708395038129,0.004560372252252251,0.0675305282983352,0.049684684684684705,100,50,control
4775,RF,0.9672849981057396,0.003936030270270268,0.06273778981021143,0.04237837837837838,100,50,control
4776,RF,0.9450670818239386,0.006628123603603606,0.08141328886369599,0.05623603603603604,100,50,control
4777,RF,0.973889321955855,0.003681000360360359,0.060671248218248805,0.04055135135135134,100,50,control
4778,RF,0.9340277163570939,0.009358041801801805,0.09673697225881014,0.06704504504504515,100,50,control
4779,RF,0.9815279112881325,0.002719639279279286,0.0521501608749128,0.024985585585585963,100,50,control
4780,RF,0.9903010324485587,0.0017943488288288307,0.04235975482493767,0.020612612612612904,100,50,control
4781,RF,0.9771032625723132,0.002229743423423426,0.04722015907876027,0.03417657657657667,100,50,control
4782,RF,0.9477764143232591,0.005997887927927933,0.07744603235755808,0.04751891891891918,100,50,control
4783,RF,0.931579647912963,0.007964969729729739,0.08924667909636604,0.06731711711711719,100,50,control
4784,RF,0.9654651824426064,0.0061526082882882955,0.07843856378267194,0.0450990990990994,100,50,control
4785,RF,0.9637109040893749,0.00498192648648649,0.0705827633809168,0.04376936936936955,100,50,control
4786,RF,0.9769669287231372,0.00294452756756757,0.05426350124685625,0.03661261261261272,100,50,control
4787,RF,0.9672281990306854,0.0011990335135135175,0.034627063310559814,0.01938738738738758,100,50,control
4788,RF,0.9594201574507413,0.007366056576576575,0.0858257337666074,0.05103243243243262,100,50,control
4789,RF,0.9995695283433941,5.903243243243285e-05,0.007683256629348837,0.003717117117117504,100,50,control
4790,RF,0.9486538186780633,0.01164088900900901,0.10789295161876428,0.05984324324324341,100,50,control
